long, lat, eventNumber
-82.8782,-79.7599,53333959
-82.8577,-79.7683,53333979
-82.9236,-79.7275,53334397
-82.9051,-79.6964,53334475
-82.9859,-79.7431,53334529
-83.0085,-79.8106,53334534
-82.9574,-79.7519,53335050
-83.0528,-79.7262,53335202
-82.7775,-79.7292,53335283
-82.7744,-79.7681,53335882
-82.7205,-79.7681,53335885
-82.8633,-79.763,53360922
-82.9087,-79.7886,53361327
-82.8706,-79.8221,53366331
-82.5677,-79.7226,53366423
-82.9618,-79.7731,53367617
-82.7088,-79.7793,53410087
-82.9978,-79.7442,53412799
-78.2487,-77.0349,53417555
-78.2699,-77.0315,53417654
-78.4081,-77.0549,53418281
-78.3291,-77.0609,53418471
-85.9051,-78.5149,53436410
-86.065,-78.5188,53436795
-86.0292,-78.5377,53532810
-85.9254,-78.5332,53544096
-78.2539,-77.0364,53562716
-78.2623,-77.042,53563494
-78.2743,-77.0403,53592231
-78.2133,-77.0364,53592335
-82.8748,-79.7282,53631679
-85.9174,-78.5229,53642512
-78.1632,-77.0123,53675090
-78.198,-77.0221,53676730
-78.2451,-77.036,53676801
-85.9955,-78.5379,53682091
-86.0304,-78.5407,53682093
-86.0432,-78.5368,53682094
-78.2884,-77.0376,53817727
-78.2974,-77.0564,53819867
-78.2484,-77.0381,53821213
-78.2206,-77.0297,53821543
-78.3133,-77.0333,53821611
-78.3282,-77.063,53825317
-78.2954,-77.0492,53825342
-78.2933,-77.056,53825555
-78.2894,-77.05,53825837
-78.274,-77.0391,53825891
-78.2909,-77.0358,53825908
-78.2615,-77.0414,53825928
-78.2804,-77.0378,53825990
-78.2153,-77.0145,53826058
-78.3454,-77.0527,53826163
-78.1626,-77.0225,53851048
-78.2883,-77.0493,53857652
-78.3004,-77.0403,53857822
-78.2743,-77.0445,53858463
-78.2036,-77.0302,53858705
-78.2831,-77.0496,53859006
-78.2883,-77.048,53860318
-78.2261,-77.0257,53860634
-78.225,-77.0258,53860838
-78.3061,-77.0347,53869670
-78.2789,-77.0413,53877900
-78.1725,-77.0194,53886398
-78.2406,-77.0413,53886722
-78.2461,-77.04,53887746
-78.2022,-77.0144,53888653
-78.2222,-77.0098,53889006
-78.2821,-77.0454,53916590
-78.2866,-77.0187,53917011
-82.7168,-79.7628,53927865
-78.3151,-77.048,54082203
-78.309,-77.0431,54082658
-78.293,-77.0386,54085869
-78.2839,-77.0332,54091292
-78.282,-77.0408,54091324
-78.2165,-77.0487,54094640
-82.6067,-79.7683,54104374
-78.2656,-77.0345,54183327
-78.3475,-77.0517,54245649
-78.3192,-77.0503,54265781
-78.3206,-77.05,54265829
-78.3062,-77.0439,54265860
-78.3174,-77.0512,54265982
-78.1947,-77.0192,54305250
-78.2448,-77.0033,54305320
-78.3687,-77.0261,54305564
-78.189,-77.0337,54305648
-78.308,-77.0451,54305816
-78.2051,-77.018,54306233
-78.1321,-77.0389,54306315
-78.4107,-77.07,54343052
-78.2688,-77.0539,54343423
-78.3464,-77.0331,54345648
-78.1573,-77.0279,54345903
-78.2788,-77.0547,54346133
-78.2007,-77.0202,54349366
-78.1275,-76.9801,54349532
-78.4425,-77.0448,54349895
-78.4281,-77.0625,54350200
-78.2706,-77.0314,54378568
-78.431,-77.0573,54378651
-78.2893,-77.0383,54378792
-78.2339,-77.0317,54396416
-78.3583,-77.0452,54396619
-78.3586,-77.0451,54396826
-78.2668,-77.0483,54396935
-78.3164,-77.0469,54397590
-78.3521,-77.049,54397646
-78.3327,-77.0428,54397743
-78.3515,-77.0503,54397807
-78.2105,-77.0285,54397959
-78.3222,-77.0484,54398150
-78.3219,-77.0308,54408013
-78.2239,-77.035,54408553
-78.4076,-77.0575,54409048
-78.3325,-77.0414,54409720
-78.0132,-77.0171,54409768
-78.3687,-77.0564,54409861
-78.2159,-77.0373,54410167
-78.3057,-77.0626,54410230
-78.0328,-77.0361,54474201
-78.1307,-77.0245,54474470
-78.2531,-77.0337,54474539
-78.2089,-77.0624,54474853
-78.2485,-77.0235,54515327
-78.3581,-77.0653,54515748
-78.3701,-77.0611,54515805
-78.3201,-77.0474,54516591
-78.3608,-77.0493,54516903
-78.1528,-77.0412,54518569
-78.2088,-77.0467,54603432
-78.2837,-77.0639,54662419
-78.213,-77.0429,54670382
-78.0424,-77.0533,54720627
-72.9484,-75.5077,54760838
-83.0196,-79.6865,55410824
-80.5015,-80.2071,55667648
-82.1973,-79.834,55672301
-86.0228,-78.5208,55679395
-85.8688,-78.5543,55686691
-112.252,-79.4239,55687726
-113.614,-79.7327,55688972
-109.101,-79.2075,55690405
-111.805,-79.338,55691587
-86.6244,-78.4821,55691712
-111.609,-79.4924,55692746
-115.045,-79.5451,55693265
-112.24,-79.4467,55709854
-115.791,-79.5785,55711886
-113.012,-79.4239,55712911
-112.251,-79.4735,55712969
-115.843,-79.6382,55713967
-112.291,-79.4697,55714182
-117.827,-79.7083,55714395
-112.656,-79.3589,55725759
-110.169,-79.2977,55726413
-111.972,-79.4177,55726788
-109.81,-79.2715,55726842
-111.511,-79.3431,55727085
-109.776,-79.2896,55727367
-111.521,-79.3372,55727436
-112.449,-79.5185,55727464
-113.129,-79.5336,55727642
-112.473,-79.5009,55727664
-116.015,-79.7076,55728447
-117.987,-79.7547,55728795
-115.973,-79.7216,55729235
-116.024,-79.6444,55729467
-110.495,-79.3545,55729509
-111.927,-79.4359,55729537
-116.051,-79.5922,55729596
-112.429,-79.5153,55729711
-111.912,-79.4433,55729850
-110.32,-79.2779,55737271
-114.884,-79.6156,55737345
-111.144,-79.3211,55737454
-116.161,-79.5906,55737646
-114.968,-79.5581,55737829
-110.114,-79.3892,55738191
-116.08,-79.7067,55738647
-112.665,-79.4399,55738792
-110.196,-79.3513,55738998
-86.1625,-78.5152,55739390
-112.148,-79.489,55751746
-115.084,-79.6253,55752374
-110.825,-79.3561,55752406
-112.254,-79.4382,55752528
-116.294,-79.7224,55752601
-109.399,-79.2674,55752656
-112.113,-79.5268,55752751
-110.327,-79.3891,55753268
-112.198,-79.4752,55753345
-113.402,-79.5725,55753518
-112.318,-79.3994,55753772
-116.358,-79.659,55753937
-112.791,-79.4987,55753990
-112.178,-79.4875,55754035
-108.843,-79.2143,55754086
-118.23,-79.7882,55754154
-118.223,-79.7274,55754292
-115.098,-79.6032,55755047
-86.9345,-78.4179,55759438
-116.406,-79.5822,55773187
-118.024,-79.8241,55773822
-116.271,-79.7035,55773850
-116.295,-79.6889,55774634
-110.921,-79.365,55774663
-118.05,-79.7611,55774822
-86.6776,-78.4788,55774853
-118.045,-79.7889,55774865
-112.91,-79.4717,55774939
-112.818,-79.5355,55775081
-118.063,-79.8009,55775134
-110.462,-79.3851,55775260
-118.099,-79.7649,55775409
-116.427,-79.5945,55775446
-116.299,-79.7179,55775479
-118.105,-79.8354,55775577
-112.2,-79.551,55775876
-110.906,-79.3971,55776359
-108.751,-79.19,55776411
-116.34,-79.7414,55776704
-113.616,-79.5122,55776751
-112.387,-79.4504,55776808
-114.33,-79.5596,55776861
-118.235,-79.7949,55777049
-112.258,-79.5401,55777149
-110.567,-79.3567,55777187
-110.351,-79.2585,55777227
-110.562,-79.3636,55777405
-110.134,-79.3701,55777490
-110.53,-79.3829,55777512
-109.535,-79.2987,55777546
-118.329,-79.7643,55777952
-107.816,-79.1336,55778097
-116.513,-79.6769,55778244
-110.325,-79.2903,55778286
-115.315,-79.611,55778447
-116.36,-79.8439,55778568
-113.686,-79.5304,55778673
-118.413,-79.7183,55778715
-110.982,-79.4013,55778757
-112.992,-79.5141,55778819
-113.611,-79.59,55778869
-118.445,-79.7878,55778917
-112.406,-79.4943,55778949
-118.453,-79.8521,55779049
-112.464,-79.4666,55779268
-111.47,-79.4177,55779419
-116.491,-79.8078,55779547
-110.996,-79.4182,55779699
-85.7855,-78.5909,55779709
-112.992,-79.5499,55779730
-114.582,-79.4992,55779886
-114.529,-79.5447,55779998
-116.604,-79.7674,55780183
-112.48,-79.4943,55780298
-112.437,-79.5253,55780361
-109.4,-79.2462,55780406
-113.726,-79.5883,55780659
-109.992,-79.3117,55780763
-110.305,-79.3525,55780843
-110.326,-79.3479,55781062
-110.479,-79.2709,55781120
-111.076,-79.4129,55781148
-112.551,-79.4862,55781257
-113.834,-79.5457,55781364
-116.885,-79.6609,55781532
-113.027,-79.6144,55781706
-113.133,-79.5355,55781726
-113.192,-79.4936,55781758
-112.65,-79.433,55781787
-110.448,-79.3036,55781884
-112.155,-79.3908,55781965
-110.391,-79.3349,55782085
-113.211,-79.49,55782210
-119.112,-79.7699,55782280
-112.072,-79.4525,55782307
-115.566,-79.6685,55782345
-116.87,-79.7149,55782376
-116.743,-79.8109,55782443
-110.111,-79.2815,55782468
-119.081,-79.8124,55782513
-116.923,-79.6707,55782621
-112.621,-79.4664,55782705
-115.568,-79.6719,55782785
-112.61,-79.4752,55782808
-116.802,-79.7609,55782920
-111.588,-79.4313,55782959
-108.85,-79.2349,55783119
-116.751,-79.7974,55783240
-113.035,-79.6217,55783384
-112.409,-79.5976,55783421
-116.867,-79.7054,55783492
-112.052,-79.4626,55783625
-116.849,-79.7128,55783655
-116.87,-79.6936,55783695
-112.649,-79.439,55783827
-115.562,-79.6491,55783863
-118.977,-79.8622,55784084
-113.927,-79.4774,55784114
-115.55,-79.6485,55784166
-113.101,-79.5561,55784289
-114.571,-79.6047,55784327
-112.527,-79.515,55784367
-116.865,-79.6418,55784545
-115.539,-79.635,55784584
-115.557,-79.6047,55784738
-116.777,-79.7025,55784963
-115.473,-79.6762,55785060
-112.558,-79.4757,55785299
-115.419,-79.6972,55785363
-111.048,-79.4314,55785417
-113.831,-79.5171,55785605
-116.641,-79.7556,55785815
-112.595,-79.4334,55785961
-116.744,-79.6394,55786150
-112.027,-79.4359,55786323
-116.674,-79.6862,55786522
-116.575,-79.7426,55787001
-118.478,-79.7832,55787196
-112.547,-79.4427,55787309
-115.419,-79.5954,55787347
-115.381,-79.6288,55787542
-115.273,-79.7184,55787756
-112.467,-79.4935,55787796
-114.405,-79.6307,55787840
-112.432,-79.5125,55788130
-114.395,-79.6339,55788196
-116.551,-79.7184,55788302
-115.356,-79.6284,55788431
-118.401,-79.7914,55788520
-110.621,-79.3958,55788707
-116.608,-79.6647,55788841
-112.457,-79.4985,55788948
-86.1528,-78.423,55788963
-116.629,-79.6403,55789035
-116.434,-79.8144,55789142
-118.406,-79.7155,55789166
-112.485,-79.4828,55789260
-112.533,-79.4496,55789327
-116.441,-79.8201,55789496
-118.427,-79.7511,55789522
-85.9758,-78.5612,55789552
-112.522,-79.4627,55789628
-110.188,-79.4119,55789655
-86.163,-78.51,55789897
-113.054,-79.5305,55789952
-116.673,-79.6427,55790019
-86.3397,-78.4721,55790090
-116.708,-79.6004,55790099
-112.489,-79.5053,55790476
-112.516,-79.4895,55790514
-112.507,-79.4985,55790630
-112.494,-79.5095,55790683
-112.042,-79.4417,55790767
-110.352,-79.3458,55790813
-118.552,-79.7847,55790901
-113.112,-79.5218,55791031
-112.056,-79.4408,55791122
-118.596,-79.884,55791199
-113.751,-79.5888,55791234
-113.818,-79.5411,55791292
-113.183,-79.4843,55791521
-112.598,-79.4664,55791649
-118.668,-79.878,55791684
-116.735,-79.7242,55791899
-116.794,-79.6772,55791988
-112.496,-79.5458,55792020
-110.841,-79.3317,55792228
-86.3328,-78.5156,55792281
-111.251,-79.3515,55792406
-112.56,-79.5195,55792585
-110.853,-79.3338,55792673
-111.629,-79.4256,55792717
-112.634,-79.4758,55792804
-113.138,-79.5695,55792985
-110.817,-79.3621,55793118
-110.335,-79.3968,55793205
-113.171,-79.5531,55793350
-86.3943,-78.4675,55793478
-84.4355,-78.6266,55794320
-111.15,-79.28,55815878
-119.162,-79.7961,55817310
-112.95,-79.4849,55818860
-109.556,-79.2318,55819569
-111.147,-79.3763,55819755
-83.4875,-79.7305,55820941
-113.093,-79.4647,55821716
-112.996,-79.5311,55821848
-117.47,-79.7212,55822105
-114.298,-79.5468,55823050
-112.904,-79.559,55823451
-117.319,-79.7546,55823483
-114.983,-79.6315,55823985
-112.909,-79.5378,55824157
-117.25,-79.7243,55824591
-117.222,-79.7546,55824680
-112.929,-79.5133,55825003
-110.622,-79.421,55825518
-112.959,-79.4948,55826151
-111.187,-79.3467,55826753
-113.556,-79.5416,55826952
-109.438,-79.2996,55827191
-111.803,-79.4012,55843615
-112.695,-79.4854,55843649
-113.87,-79.5358,55843835
-113.812,-79.5787,55843866
-112.178,-79.4748,55843959
-112.757,-79.4422,55843999
-111.787,-79.4161,55844542
-117.743,-79.8183,55844606
-117.762,-79.7678,55844676
-109.468,-79.2377,55844745
-113.797,-79.5926,55844955
-117.663,-79.8775,55845108
-110.983,-79.3687,55845234
-109.643,-79.3094,55845289
-110.02,-79.2869,55845555
-113.212,-79.5339,55845631
-113.248,-79.5078,55845744
-115.282,-79.6994,55845816
-112.215,-79.4558,55845848
-113.236,-79.5158,55846257
-116.382,-79.6742,55846883
-115.409,-79.6589,55856437
-113.869,-79.5926,55856470
-115.321,-79.7183,55856551
-111.88,-79.4009,55856606
-115.412,-79.6552,55856632
-111.144,-79.3137,55856706
-113.894,-79.5732,55856754
-110.424,-79.2931,55856784
-113.266,-79.5448,55856871
-111.756,-79.4778,55857013
-117.849,-79.7866,55857095
-111.035,-79.3769,55857170
-110.09,-79.2834,55857278
-111.059,-79.363,55857320
-109.711,-79.3069,55857348
-111.452,-79.3811,55857444
-116.546,-79.6061,55857473
-113.943,-79.5366,55857526
-111.126,-79.3242,55857636
-113.3,-79.5179,55857736
-113.248,-79.5558,55857768
-113.272,-79.5361,55858301
-117.89,-79.7111,55858372
-112.795,-79.4636,55859108
-113.332,-79.4926,55859163
-111.037,-79.375,55859262
-108.791,-79.2228,55868593
-111.922,-79.4494,55868641
-114.049,-79.5689,55869415
-113.515,-79.4676,55869438
-111.092,-79.4154,55869466
-112.907,-79.4864,55869491
-113.999,-79.6129,55869548
-109.827,-79.3062,55869601
-113.393,-79.5721,55869664
-115.588,-79.6737,55869701
-115.597,-79.6681,55869718
-113.363,-79.5963,55869810
-114.709,-79.6482,55869884
-118.177,-79.7672,55869964
-118.18,-79.7647,55869984
-114.076,-79.5619,55870044
-111.612,-79.3699,55870182
-111.158,-79.3855,55870218
-114.801,-79.5862,55870305
-113.339,-79.6187,55870340
-116.575,-79.8122,55870378
-111.978,-79.4417,55871526
-113.556,-79.4656,55871613
-118.327,-79.6435,55872100
-118.255,-79.7837,55872180
-115.852,-79.651,55883248
-113.634,-79.5325,55883465
-113.508,-79.6177,55883483
-111.24,-79.4161,55883584
-113.053,-79.5036,55883630
-113.524,-79.6079,55883680
-111.543,-79.4964,55883703
-111.661,-79.4305,55883724
-114.236,-79.5728,55883753
-113.553,-79.5914,55885067
-113.627,-79.5377,55885096
-118.556,-79.7391,55885124
-111.717,-79.3953,55885200
-111.227,-79.4259,55885219
-111.299,-79.3838,55885339
-118.528,-79.8166,55885709
-113.631,-79.536,55885791
-112.159,-79.4119,55887060
-115.86,-79.7653,55914785
-114.362,-79.5684,55915386
-111.405,-79.3907,55915468
-118.719,-79.8103,55915511
-113.735,-79.5516,55915638
-118.706,-79.8143,55915708
-114.302,-79.6282,55915786
-112.214,-79.4515,55915911
-113.719,-79.5656,55915989
-113.707,-79.5745,55916029
-114.328,-79.6052,55916119
-118.736,-79.775,55916181
-115.812,-79.8052,55916216
-114.371,-79.5659,55916247
-118.725,-79.8122,55916313
-86.022,-78.5463,55916380
-115.073,-79.6247,55916385
-113.119,-79.5492,55916484
-115.079,-79.6236,55916561
-86.1437,-78.541,55916587
-110.984,-79.4044,55916657
-113.715,-79.5721,55916762
-115.962,-79.689,55916797
-116.945,-79.88,55916911
-118.72,-79.8309,55916937
-118.707,-79.8708,55916990
-113.729,-79.5668,55917043
-113.745,-79.5556,55917066
-114.366,-79.5814,55917090
-111.718,-79.477,55917119
-113.126,-79.5537,55917210
-113.723,-79.5753,55917692
-113.711,-79.585,55917757
-113.691,-79.5986,55917779
-114.365,-79.5877,55917800
-117.104,-79.7334,55917829
-118.756,-79.9019,55917890
-115.074,-79.6466,55917948
-113.752,-79.5573,55917969
-114.445,-79.5296,55918092
-111.363,-79.4306,55918163
-111.314,-79.4596,55918299
-113.806,-79.5211,55918330
-118.82,-79.7885,55918389
-113.729,-79.5782,55918445
-118.79,-79.8047,55918476
-113.104,-79.5801,55918508
-115.11,-79.6205,55918587
-86.6558,-78.3993,55918634
-115.067,-79.6621,55918780
-111.786,-79.448,55918801
